falcon_name,fn_name
⨯,cartesian_product
product,cartesian_product
cartesian,cartesian_product
cartesian_product,cartesian_product
all-pairs,all_pairs
all_pairs,all_pairs
all-triplets,all_triplets
all_triplets,all_triplets
covering,twise_combination
t-wise,twise_combination
twise,twise_combination
twise_combination,twise_combination
all-pairs-of,all_pairs_of
pairs-of,all_pairs_of
all_pairs_of,all_pairs_of
all-triplets-of,all_triplets_of
triplets-of,all_triplets_of
all_triplets_of,all_triplets_of
combs-of,combinations_of
combinations-of,combinations_of
all-orderings-of,combinations_of
combinations_of,combinations_of
all-perms-of,all_permutations_of
all-permutations-of,all_permutations_of
all_permutations_of,all_permutations_of
art,ART
ART,ART
