predicate_name,name,symbol,is_symbolic,is_error,is_group,doc_error,error_message
always-true,always_true,,False,False,False,False,False,Returns True
true!,always_true,,False,False,False,False,False,Returns True
always_true,always_true,,False,False,False,False,False,Returns False
always-false,always_true,,False,False,False,False,False,Returns False
false!,always_true,,False,False,False,False,False,Returns False
finishes-ms?,finishes_in_lt_ms,,False,True,False,False,False,Measures the amount of time it takes to execute <= ms
finishes_in_lt_ms,finishes_in_lt_ms,,False,True,False,False,False,Measures the amount of time it takes to execute <= ms
error-and-says?,is_error_and_says,,False,True,False,False,False,"
    Tests that the error is of the specific type and the error message is the same or
    contained in the error message.
    "
is_error_and_says,is_error_and_says,,False,True,False,False,False,"
    Tests that the error is of the specific type and the error message is the same or
    contained in the error message.
    "
error?,is_error,,False,True,False,False,False,Tests that the error is an instance of the specified type
is_error,is_error,,False,True,False,False,False,Tests that the error is an instance of the specified type
raises?,raises_error,,False,False,False,False,False,Tests that the error is an Exception
raises_error,raises_error,,False,False,False,False,False,Tests that the error is an Exception
asserts?,raises_assertion_error,,False,False,False,False,False,
raises_assertion_error,raises_assertion_error,,False,False,False,False,False,
raises-and-says?,is_error_and_contains,,False,False,False,False,False,"
    Tests that the error is an Exception and the message is the error message or the message
    is contained in the error message.
    "
raises&says?,is_error_and_contains,,False,False,False,False,False,"
    Tests that the error is an Exception and the message is the error message or the message
    is contained in the error message.
    "
is_error_and_contains,is_error_and_contains,,False,False,False,False,False,"
    Tests that the error is an Exception and the message is the error message or the message
    is contained in the error message.
    "
instance?,is_instance,,False,False,False,True,True,The value is not the instance specified
is?,is_instance,,False,False,False,True,True,The value is not the instance specified
≡,is_instance,,False,False,False,True,True,The value is not the instance specified
is_instance,is_instance,,False,False,False,True,True,The value is not the instance specified
is-a?,is_a,,False,False,False,True,True,The value is not any of instances specified
is_a,is_a,,False,False,False,True,True,The value is not any of instances specified
isnt?,is_not,,False,False,False,False,False,Tests that the value is not of instance kind
is_not,is_not,,False,False,False,False,False,Tests that the value is not of instance kind
is-not?,is_not_instance_of,,False,False,False,False,False,
is-not-instance?,is_not_instance_of,,False,False,False,False,False,
≢,is_not_instance_of,,False,False,False,False,False,
is_not_instance_of,is_not_instance_of,,False,False,False,False,False,
same-as?,same_instance,,False,False,False,True,True,The value must be the same instance
same_instance,same_instance,,False,False,False,True,True,The value must be the same instance
in,is_in,in,True,False,False,True,True,The value must in the sequence
in?,is_in,in,True,False,False,True,True,The value must in the sequence
∋,is_in,in,True,False,False,True,True,The value must in the sequence
∍,is_in,in,True,False,False,True,True,The value must in the sequence
is_in,is_in,in,True,False,False,True,True,The value must in the sequence
!in,not_in,not in,True,False,False,True,True,The value must not be in the sequence
¬in,not_in,not in,True,False,False,True,True,The value must not be in the sequence
∌,not_in,not in,True,False,False,True,True,The value must not be in the sequence
not_in,not_in,not in,True,False,False,True,True,The value must not be in the sequence
=,eq,==,True,False,False,False,False,"Weak equality, ie a = b"
eq?,eq,==,True,False,False,False,False,"Weak equality, ie a = b"
eq,eq,==,True,False,False,False,False,"Weak equality, ie a = b"
==,equals,,False,False,False,False,False,"Strong equality, ie a == b, where type(a) == type(b) and a == b"
equals?,equals,,False,False,False,False,False,"Strong equality, ie a == b, where type(a) == type(b) and a == b"
equals,equals,,False,False,False,False,False,"Strong equality, ie a == b, where type(a) == type(b) and a == b"
===,strong_equals,,False,False,False,False,False,"The strongest notion of equality, not the same object, where type(a) == type(b) and a == b"
strong-equals?,strong_equals,,False,False,False,False,False,"The strongest notion of equality, not the same object, where type(a) == type(b) and a == b"
strong_equals,strong_equals,,False,False,False,False,False,"The strongest notion of equality, not the same object, where type(a) == type(b) and a == b"
!=,ne,!=,True,False,False,False,False,
≠,ne,!=,True,False,False,False,False,
ne?,ne,!=,True,False,False,False,False,
ne,ne,!=,True,False,False,False,False,
<,lt,<,True,False,False,False,False,
lt?,lt,<,True,False,False,False,False,
lt,lt,<,True,False,False,False,False,
>,gt,>,True,False,False,False,False,
gt?,gt,>,True,False,False,False,False,
gt,gt,>,True,False,False,False,False,
<=,le,<=,True,False,False,False,False,
≤,le,<=,True,False,False,False,False,
le?,le,<=,True,False,False,False,False,
le,le,<=,True,False,False,False,False,
>=,ge,>=,True,False,False,False,False,
≥,ge,>=,True,False,False,False,False,
ge?,ge,>=,True,False,False,False,False,
ge,ge,>=,True,False,False,False,False,
not-lt?,not_lt,,False,False,False,False,False,Value a ≮ b
≮,not_lt,,False,False,False,False,False,Value a ≮ b
not_lt,not_lt,,False,False,False,False,False,Value a ≮ b
not-gt?,not_gt,,False,False,False,False,False,Value a ≯ b
≯,not_gt,,False,False,False,False,False,Value a ≯ b
not_gt,not_gt,,False,False,False,False,False,Value a ≯ b
not-le?,not_le,,False,False,False,False,False,Value a ≰ b
≰,not_le,,False,False,False,False,False,Value a ≰ b
not_le,not_le,,False,False,False,False,False,Value a ≰ b
not-ge?,not_ge,,False,False,False,False,False,Value a ≱ b
≱,not_ge,,False,False,False,False,False,Value a ≱ b
not_ge,not_ge,,False,False,False,False,False,Value a ≱ b
#<,cardinality_lt,,False,False,False,False,False,
card-lt?,cardinality_lt,,False,False,False,False,False,
cardinality_lt,cardinality_lt,,False,False,False,False,False,
#>,cardinality_gt,,False,False,False,False,False,
card-gt?,cardinality_gt,,False,False,False,False,False,
cardinality_gt,cardinality_gt,,False,False,False,False,False,
#<=,cardinality_le,,False,False,False,False,False,
#≤,cardinality_le,,False,False,False,False,False,
card-le?,cardinality_le,,False,False,False,False,False,
cardinality_le,cardinality_le,,False,False,False,False,False,
#>=,cardinality_ge,,False,False,False,False,False,
#≥,cardinality_ge,,False,False,False,False,False,
card-ge?,cardinality_ge,,False,False,False,False,False,
cardinality_ge,cardinality_ge,,False,False,False,False,False,
#=,cardinality_ge,,False,False,False,False,False,
#is,cardinality_ge,,False,False,False,False,False,
#eq?,cardinality_ge,,False,False,False,False,False,
card-eq?,cardinality_ge,,False,False,False,False,False,
#+-,cardinality_plus_minus_n,,False,False,False,False,False,
#±,cardinality_plus_minus_n,,False,False,False,False,False,
card-pm?,cardinality_plus_minus_n,,False,False,False,False,False,
cardinality_plus_minus_n,cardinality_plus_minus_n,,False,False,False,False,False,
#!=0,cardinality_ne0,,False,False,False,False,False,
#≠0,cardinality_ne0,,False,False,False,False,False,
card-not-0?,cardinality_ne0,,False,False,False,False,False,
cardinality_ne0,cardinality_ne0,,False,False,False,False,False,
#between?,cardinality_between,,False,False,False,False,False,"Tests that the length of a sequence is greater-than-or-equal-to lb and less-than-or-equal-to ub, [lb, ub]"
card-between?,cardinality_between,,False,False,False,False,False,"Tests that the length of a sequence is greater-than-or-equal-to lb and less-than-or-equal-to ub, [lb, ub]"
